total_sqft,bath,location,price,size
1210,3,Remco Housing Society,7500000,2
820,3,Bommasandra Industrial Area,3300000,2
1170,3,Varthur,7100000,2
532,2,DLF Newtown,4300000,1
1200,3,Kattriguppe,6800000,2
950,3,Lingadheeranahalli,6000000,2
1480,3,Vishwapriya Nagar,7000000,3
1485,3,Jinke Thimmanahalli,7500000,3
1219,3,Immadihalli,8300000,2
1200,3,Javarandoddi,7500000,2
1098,3,Devin Paradise Enclave,8300000,2
955,3,V S Reddy Colony,6500000,2
1448,3,Gollahalli,9000000,3
1028,3,Electronic City,6998999,2
1039,3,MV ENCLAVE,5000000,2
1621,3,Vaishnavi Layout,8000000,3
1100,3,Akshayanagara East,4800000,2
1229,3,Kasavanahalli,7700000,2
858,3,Terracon Doctors Enclave,3700000,2
1000,3,adiga,7000000,2
1202,3,Lakedew Residency- Phase 2,6130000,2
1174,3,Belur Nagasandra,7400000,2
1440,3,Electronic City,9200000,3
1100,3,Electronic City,4000000,2
1420,3,adiga,9000000,3
950,3,Sunny Side Apartment,4000000,2
2685,4,psr nandanam,15000000,4
1279,3,Nehru Nagar,8700000,2
950,3,Yelenahalli,6200000,2
1802,3,Jakkuru Village,16000000,3
1200,3,Sarjapur,10000000,3
1530,3,Akshayanagara East,11000000,3
1000,3,Akshayanagara East,8000000,2
1160,3,Sundar Ram Shetty Nagar,8000000,2
1326,3,Siddaramana Dinne,17000000,3
827,3,Kachanayakanahalli,3600000,2
950,3,Sri Lakshmi residential,5700000,2
1050,3,Inasappa Layout,7500000,2
1015,3,Chokkanahalli,5900000,2
1280,3,Yelahanka,5800000,2
1200,3,M Vishveshvaraiah Nagar,7000000,2
1220,3,Route 154,5800000,2
1161,3,Tatanagar,6800000,2
1915,3,ATLANTIS LIBERTY SQUARE,13000000,3
2125,4,Bellandur,30000000,4
1160,3,Horamavu Agara,5000000,2
1135,3,Dodsworth Layout,6300000,2
1160,3,Horamavu Agara,5200000,2
1700,3,Sahakara Nagar,9500000,3
760,2,Bhartiya City Nikoo Home,5100000,1
1650,3,Choodasandra,12000000,3
1381,3,Lakven Amravati Square,7000000,2
1300,3,DS Max Saffron,9500000,3
960,3,LMP Pearl Tuscany,5500000,2
1200,3,Volagerekallahalli,6000000,2
924,3,Mallasandra,6300000,2
3000,2,Chinnayanpalya,18500000,3
1200,3,Nehru Nagar,9000000,2
1140,3,Virgonagar Industrial Estate,4350000,2
905,3,Yelenahalli,6300000,2
725,2,Choodasandra,3600000,2
1322,3,Ittangur,7000000,3
926,3,Kada Agrahara,6000000,2
1140,3,Sorahunase,6200000,2
1100,3,Sundar Ram Shetty Nagar,6500000,2
1180,3,Anjanapura Township,4500000,2
1307,3,ascent apartment,7900000,2
1340,3,Lingadheeranahalli,7700000,2
1200,3,M Vishveshvaraiah Nagar,8500000,2
1070,3,Bhoganhalli,7500000,2
3000,6,Akshaya Vana,26500000,4
1575,3,Devarachikkana Halli,15000000,3
1116,3,Vijay Nagar,6900000,2
1550,3,Chamundi Nagar,8500000,3
871,3,Thirumagondanahalli,3800000,2
1340,3,Vakil Garden City,8000000,2
1665,3,Manayata Tech Park,11000000,3
1474,3,Mullur,9200000,3
1285,3,Thippasandra,15000000,2
1422,3,Chokkanahalli,9500000,3
2345,4,Attibele,13700000,3
1577,3,Aster park,11000000,3
1233,3,Sai Meadows,6500000,2
1575,3,Vadarpalya,11500000,3
1430,3,Addischetan Layout,8000000,3
1467,3,Pai Layout,6300000,2
1084,3,Devarachikkana Halli,6000000,2
1102,3,Seetharampalya,8200000,2
1160,3,B Narayanapura,8000000,2
1900,3,Rachenahalli,14000000,3
2350,4,Sundar Ram Shetty Nagar,40000000,4
1400,3,Rachenahalli,13000000,2
